Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2015-09-01","Nepal","NPL","524","Asia","142","Southern Asia","34","56013000","Textile Flock And Dust And Mill Neps","Kgs",0.1,0.09,0
"2017-04-01","Georgia","GEO","268","Asia","142","Western Asia","145","63019090","Other Blankets And Travelling Rugs,","Nos",9.5,22.15,0.03
"2018-10-01","Israel","ISR","376","Asia","142","Western Asia","145","52081290","Others","Sqm",365.13,213.45,0.29
"2024-09-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84829113","Special Stainless Steel Balls","Kgs",131,0.1,0.01
"2019-05-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","25262000","Natrl Steatite Crushed/Powdered","Kgs",4,2.68,0
"2024-07-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","32041460","Direct Brown (Azo)","Kgs",150,0.01,0
"2017-03-01","Japan","JPN","392","Asia","142","Eastern Asia","30","9083190","Other Cardamom; Neither Crushed Nor Ground","Kgs",0.03,0.42,0
"2017-12-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","90212900","Other(Dental Fittings)","Nos",0.01,1.86,0
"2015-01-01","Bahrain","BHR","48","Asia","142","Western Asia","145","6031100","Roses","Kgs",0.99,4.15,0.01
"2024-05-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","90311000","Machines For Balancing Mechanical Parts","Nos",8,0.02,0
"2017-05-01","Yemen","YEM","887","Asia","142","Western Asia","145","69072200","Of A Water Absorption Coefficient By Weight Exceeding 0.5% But Not Exceeding 10%","Sqm",107.72,179.21,0.28
"2019-08-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","84231000","Personal Weighing Machines,Including Baby Scales;Household Scales","Nos",1.2,9.28,0.01
"2025-08-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","73079210","Galvanised","Kgs",2986,0.04,0.01
"2018-03-01","Japan","JPN","392","Asia","142","Eastern Asia","30","84729094","Braille Typewriters, Non-Electric","Nos",0.05,1.39,0
"2020-02-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84842000","Mechanical Seals","Kgs",0.23,6.1,0.01
"2019-03-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","7061000","Carrots And Turnips Frsh Or Chilled","Kgs",6.97,2.76,0
"2017-12-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","28364000","Potassium Carbonates","Kgs",0.1,0.18,0
"2019-11-01","Turkiye","TUR","792","Asia","142","Western Asia","145","85362090","Others","Nos",0,0.06,""
"2020-11-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","40170090","Others","Kgs",0.22,0.43,0
"2020-10-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","32041670","Reactive Browns","Kgs",5.48,15.7,0.02
"2016-05-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","61046990","Trousers,Bib And Brace Etc Of Other Fibres","Nos",100.04,194.03,0.29
"2015-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","29362210","Vitamin B1I(Thiamine, Aneurine) And Its Salt","Kgs",0.03,0.63,0
"2025-07-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","34011941","Household Soaps","Kgs",340,0,0
"2019-05-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","73269099","All Other Articles Of Iron/Steel Nes Other Steering Or Rudder Equipment For Ships And Boats, N.E.S.","Kgs",44.38,72.78,0.1
"2020-02-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","84821090","Other Ball Bearings","Nos",0.03,0.03,""
"2024-07-01","Mongolia","MNG","496","Asia","142","Eastern Asia","30","30045090","Others Put Up For Retail Sale","Kgs",540,0.01,0
"2025-01-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","61044200","Dresses Of Cotton","Nos",273,0.01,0
"2015-10-01","China","CHN","156","Asia","142","Eastern Asia","30","82076010","Reamers","Kgs",0.01,1.13,0
"2019-08-01","Iraq","IRQ","368","Asia","142","Western Asia","145","39061090","Other Poly Metyl Methacrylates","Kgs",0.06,0.76,0
"2019-02-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","39206210","Pltes Shts Etc Of Plyethyln Terephthalte Rigid, Plain","Kgs",2.71,6.65,0.01
"2018-03-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84619000","0Ther Machine Tools Of Hdg No 8461","Nos",0.02,4.62,0.01
"2016-10-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","32041549","Other Vat Violet","Kgs",0.18,2.81,0
"2019-10-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","3031900","Other Salmonide Frozen Excl Of Heading 030391 To 030399","Kgs",0.54,1.31,0
"2018-06-01","Bahrain","BHR","48","Asia","142","Western Asia","145","73181600","Threaded Nuts","Kgs",1.82,5.73,0.01
"2018-03-01","Maldives","MDV","462","Asia","142","Southern Asia","34","84238900","Other Weighing Machinery","Nos",0.04,0.49,0
"2018-02-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","82079090","Others","Kgs",74.19,104.94,0.16
"2024-09-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","28259040","Calcium Hydroxide","Kgs",1,0,0
"2019-08-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","30049089","Tranquilizers","Kgs",0.06,1.98,0
"2017-01-01","Japan","JPN","392","Asia","142","Eastern Asia","30","68141090","Others","Kgs",0.63,36.04,0.05
"2021-07-01","Maldives","MDV","462","Asia","142","Southern Asia","34","12075090","Other Mustard Seeds W/N Broken","Kgs",0.05,0.04,""
"2015-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","24012040","Burley Tobaco, Partly/Wholly Stmd/Stripped","Kgs",34.73,33.64,0.05
"2020-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","84732100","Prts And Accssrs Of Elctrnc Calcultng Mchns Of Subhdg No.847010,847021/847029","Kgs",0.2,0.78,0
